Age,year,sex,people
60,2007,M,23966061
65,2007,M,19346691
70,2007,M,14899363
75,2007,M,9057039
80,2007,M,4286161
85,2007,M,1663040
90,2007,M,459858
95,2007,M,64065
100,2007,M,3224
0,2008,M,44566659
5,2008,M,45201653
10,2008,M,47927807
15,2008,M,59428849
20,2008,M,63470641
25,2008,M,49023329
30,2008,M,54732593
35,2008,M,65345392
40,2008,M,60837759
45,2008,M,47687007
50,2008,M,42939232
55,2008,M,38652787
60,2008,M,24994982
65,2008,M,19419439
70,2008,M,15191762
75,2008,M,9379642
80,2008,M,4452865
85,2008,M,1684012
90,2008,M,494208
95,2008,M,76858
100,2008,M,3542
0,2009,M,45158962
5,2009,M,44678571
10,2009,M,47378448
15,2009,M,55272421
20,2009,M,66356075
25,2009,M,50099398
30,2009,M,52013362
35,2009,M,64168603
40,2009,M,62855123
45,2009,M,50026461
50,2009,M,42203076
55,2009,M,41120853
60,2009,M,26453885
65,2009,M,19686804
70,2009,M,15478425
75,2009,M,9663818
80,2009,M,4595694
85,2009,M,1689756
90,2009,M,489142
95,2009,M,77524
100,2009,M,3911
0,2010,M,45565774
5,2010,M,44357884
10,2010,M,46714332
15,2010,M,52140173
20,2010,M,67253626
25,2010,M,52072594
30,2010,M,50086834
35,2010,M,62418022
40,2010,M,64228982
45,2010,M,52430521
50,2010,M,42333000
55,2010,M,42590052
60,2010,M,28415407
65,2010,M,20224519
70,2010,M,15743094
75,2010,M,9933028
80,2010,M,4726673
85,2010,M,1680158
90,2010,M,435711
95,2010,M,59289
100,2010,M,4346
0,2011,M,46105573
5,2011,M,44291269
10,2011,M,46038234
15,2011,M,49851344
20,2011,M,66286274
25,2011,M,54956452
30,2011,M,48896237
35,2011,M,60125561
40,2011,M,64970371
45,2011,M,54887944
50,2011,M,43111682
55,2011,M,42973882
60,2011,M,30641029
65,2011,M,20733515
